title,snippet,link,position,date
Building a Bangladesh free of child marriage | by Ashoka,"Jun 7, 2021 — Every minute, 23 girls under the age of 18 are married around the world, and the numbers have been rising during the pandemic. In Bangladesh ...",https://medium.com/change-maker/building-a-bangladesh-free-of-child-marriage-ed5e3a777d57,81,2022-01-25 04:47:34
Exploring Enhanced HFP to Reduce Child Marriage in ...,"Feb 17, 2021 — Ainul S, Bajrachrya A, Reichenbach L. Adolescents in Bangladesh: A Situation Analysis of Programmatic Approaches to Sexual and Reproductive ...",https://clinicaltrials.gov/ct2/show/NCT04758169,82,2022-01-25 04:47:34
"Child marriage, climate vulnerability and natural disasters in ...","by MN Asadullah · Cited by 3 — One study noted that during the flood season, when schooling is affected, adolescence girls are more vulnerable to early marriage in Bangladesh ...",https://www.cambridge.org/core/journals/journal-of-biosocial-science/article/child-marriage-climate-vulnerability-and-natural-disasters-in-coastal-bangladesh/724DF784537EBC63B99E5A21B8676A10,83,2022-01-25 04:47:34
Age at First Marriage of Women in Bangladesh - IntechOpen,"by MS Zahangir · 2021 — The legal age of women at first marriage is 18 years in Bangladesh, while the parliament of government has approved a new law called 'Child Marriage Restraint ...",https://www.intechopen.com/chapters/75431,84,2022-01-25 04:47:34
Power vs Money: Alternative Approaches to Reducing Child ...,by N Buchmann · 2018 · Cited by 50 — A clustered randomized trial in Bangladesh examines alternative strategies to reduce child marriage and teenage childbearing and increase girls' ...,https://www.povertyactionlab.org/sites/default/files/publications/Power-vs-Money-Working-Paper.pdf,85,2022-01-25 04:47:34
"Preventing Child, Early, and Forced Marriage in Bangladesh","by S Ferdous · 2019 · Cited by 1 — Most people in Bangladesh do not believe child marriage is a form of sexual violence. The country, however, has committed to eliminate CEFM by 2030, and the.",https://42kgab3z3i7s3rm1xf48rq44-wpengine.netdna-ssl.com/wp-content/uploads/2019/10/Oxfam-Bangladesh-Preventing-CEFM-Report.pdf,86,2022-01-25 04:47:34
Parents still not heeding child marriage warnings - The New ...,"According to UNICEF's 2011 State of the World's Children report, about a third of women in Bangladesh aged 20-24 are married by the age of 15, and 66 percent ...",https://www.thenewhumanitarian.org/fr/node/250365,87,2022-01-25 04:47:34
Education Helps Reduce Child Marriage in Bangladesh ...,"Programs that educate Bangladeshi girls, teach them about their rights, and build their skills for modern livelihoods can reduce child marriage in ...",https://philanthropynewsdigest.org/news/education-helps-reduce-child-marriage-in-bangladesh-study-finds,88,2022-01-25 04:47:34
Child Marriage in Bangladesh: Policy and Ethics - Semantic ...,"Sep 17, 2020 — Bangladesh is a Muslim-majority society with more than 163 million people. Most Bangladeshis hold the ideals of Islamic norms and values ...",https://www.semanticscholar.org/paper/Child-Marriage-in-Bangladesh%3A-Policy-and-Ethics-Arnab-Siraj/6127a6b21973528f649b521ff7bc2d914318b10a,89,2022-01-25 04:47:34
Bangladesh Weakens Longstanding Law Against Underage ...,"Feb 27, 2017 — A new provision in the Child Marriage Restraint Act, which dates to 1929, allows girls under the age of 18 to marry in some circumstances. The ...",https://www.nytimes.com/2017/02/27/world/asia/bangladesh-underage-marriage-law.html,90,2022-01-25 04:47:34
The Child Marriage Restraint Act In Bangladesh - SSRN Papers,by F Begum · 2019 — A new law has been enacted in Bangladesh to prevent children from getting married which has contributed to child marriage to take place in ...,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3359256,91,2022-01-25 04:47:34
What is driving the increase in child marriage in Bangladesh?,"Apr 7, 2016 — Bangladesh has one of the highest rates of female child marriage anywhere in the world. According to a recent estimate, 39% of Bangladeshi ...",https://www.opendemocracy.net/en/5050/bangladesh-debating-child-marriage-law-and-patriarchal-traditi/,92,2022-01-25 04:47:34
Is the law enough to end child marriage?,"Nov 8, 2019 — To meet the UN's Sustainable Development Goals (SDGs) campaign to end child marriage (target 5.3), the Bangladesh parliament passed the 2017 ...",https://blogs.lse.ac.uk/internationaldevelopment/2019/11/08/is-the-law-enough-to-end-child-marriage/,93,2022-01-25 04:47:34
Incentive Program Reduces Child Marriage in Bangladesh,"Jul 28, 2017 — Conducted in rural, southern Bangladesh, the country with the second-highest child marriage rate in the world, researchers built an incentive ...",https://borgenproject.org/incentive-program-reduces-child-marriage-in-bangladesh/,94,2022-01-25 04:47:34
Early Marriage in Bangladesh | Wikigender,"Bangladesh has one of the world's highest rates of early marriage. According to United NationsICEF figures, 66% of Bangladeshi girls are marriage before the ...",https://www.wikigender.org/wiki/early-marriage-in-bangladesh/,95,2022-01-25 04:47:34
Child marriage: historical reality around the globe and in ...,"by MAK Chowdhury · 2018 · Cited by 3 — This is more prevalent in developing countries including Bangladesh. Although the uni- versal age for the marriage of women is 18 years, the girls get married ...",https://archivesofpsychology.org/index.php/aop/article/download/80/153,96,2022-01-25 04:47:34
